Draw number,Draw date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Winning Number 7,Powerball Number,Division 1 winners,Division 1 winners in WA,Division 1 prize pool,Division 1 amount,Division 2 winners,Division 2 winners in WA,Division 2 prize pool,Division 2 amount,Division 3 winners,Division 3 winners in WA,Division 3 prize pool,Division 3 amount,Division 4 winners,Division 4 winners in WA,Division 4 prize pool,Division 4 amount,Division 5 winners,Division 5 winners in WA,Division 5 prize pool,Division 5 amount,Division 6 winners,Division 6 winners in WA,Division 6 prize pool,Division 6 amount,Division 7 winners,Division 7 winners in WA,Division 7 prize pool,Division 7 amount,Division 8 winners,Division 8 winners in WA,Division 8 prize pool,Division 8 amount,Division 9 winners,Division 9 winners in WA,Division 9 prize pool,Division 9 amount
1268,03/09/2020,17,23,32,3,1,9,13,19,0,0,0.00,0.00,2,1,460985.90,230492.95,77,14,281712.20,3658.60,1465,127,512237.25,349.65,2804,324,384148.00,137.00,38146,3965,2483304.60,65.10,50296,5232,1946455.20,38.70,224700,23741,3842370.00,17.10,630522,65395,6746585.40,10.70
1267,27/08/2020,23,2,16,14,18,13,28,9,0,0,0.00,0.00,4,0,304738.40,76184.60,54,3,186229.80,3448.70,852,106,338584.80,397.40,1585,160,253917.00,160.20,22845,2448,1642555.50,71.90,31042,3236,1286690.90,41.45,143045,15316,2539048.75,17.75,414240,43751,4453080.00,10.75
1266,20/08/2020,18,8,23,21,12,17,35,1,0,0,0.00,0.00,1,0,215830.55,215830.55,17,1,131896.20,7758.60,449,36,239810.90,534.10,1072,130,179881.60,167.80,15422,1739,1162818.80,75.40,22134,2456,910814.10,41.15,95488,11002,1799948.80,18.85,274962,31146,3148314.90,11.45
1265,13/08/2020,5,24,15,16,14,32,6,19,1,0,10307848.53,10307848.53,3,1,305179.05,101726.35,34,0,186498.50,5485.25,616,59,339077.20,550.45,1403,182,254293.75,181.25,20674,2285,1644616.70,79.55,26620,2955,1288408.00,48.40,135041,15020,2545522.85,18.85,407251,44935,4459398.45,10.95
1264,06/08/2020,14,23,5,18,33,27,7,7,0,0,0.00,0.00,3,1,224789.25,74929.75,32,4,137371.20,4292.85,632,48,249766.40,395.20,1418,164,187317.80,132.10,19993,2276,1211575.80,60.60,24817,2631,949250.25,38.25,119371,13555,1874124.70,15.70,329412,37297,3277649.40,9.95
1263,30/07/2020,24,3,30,19,27,9,35,1,1,0,20000000.00,20000000.00,3,0,504861.75,168287.25,70,7,308525.00,4407.50,1301,209,560926.15,431.15,2604,305,420676.20,161.55,37006,4143,2719941.00,73.50,54054,6502,2132430.30,39.45,227701,25819,4212468.50,18.50,652383,73514,7371927.90,11.30
1262,23/07/2020,9,17,28,16,3,7,32,6,0,0,0.00,0.00,3,0,291702.00,97234.00,46,3,178261.50,3875.25,857,126,324117.40,378.20,1535,168,243067.25,158.35,22224,2305,1572348.00,70.75,30542,3117,1232369.70,40.35,137683,13932,2430104.95,17.65,392417,39559,4257724.45,10.85
1261,16/07/2020,18,34,32,23,26,14,11,5,0,0,0.00,0.00,5,1,227846.75,45569.35,32,3,139240.00,4351.25,601,73,253171.25,421.25,1199,138,189861.65,158.35,17097,1784,1227564.60,71.80,22185,2402,961719.75,43.35,107509,11104,1897533.85,17.65,312624,33016,3329445.60,10.65
1260,09/07/2020,33,2,32,31,28,21,26,12,1,0,80000000.00,80000000.00,6,1,1228937.10,204822.85,133,24,751017.75,5646.75,2692,383,1365517.00,507.25,5858,643,1023978.40,174.80,87093,9122,6623422.65,76.05,108951,11893,5191515.15,47.65,555628,58489,10251336.60,18.45,1644065,172407,17920308.50,10.90
1259,02/07/2020,26,15,16,6,1,21,10,19,0,0,0.00,0.00,4,0,789169.40,197292.35,109,12,482270.50,4424.50,2119,175,876842.20,413.80,4193,410,657672.05,156.85,57662,6291,4252572.50,73.75,79944,8077,3333664.80,41.70,358821,38531,6584365.35,18.35,1047460,111482,11522060.00,11.00
