Draw number,Draw date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Supplementary Number 1,Supplementary Number 2,Division 1 winners,Division 1 winners in WA,Division 1 prize pool,Division 1 amount,Division 2 winners,Division 2 winners in WA,Division 2 prize pool,Division 2 amount,Division 3 winners,Division 3 winners in WA,Division 3 prize pool,Division 3 amount,Division 4 winners,Division 4 winners in WA,Division 4 prize pool,Division 4 amount,Division 5 winners,Division 5 winners in WA,Division 5 prize pool,Division 5 amount,Division 6 winners,Division 6 winners in WA,Division 6 prize pool,Division 6 amount
3737,13/05/2017,21,1,40,30,16,35,7,2,8,1,21000000.00,2625000.00,133,19,1309451.50,9845.50,2573,400,2825668.60,1098.20,126637,20798,4273998.75,33.75,321963,51835,7163676.75,22.25,730680,117588,9243102.00,12.65
3735,06/05/2017,8,39,9,16,41,26,31,28,4,0,4009154.04,1002288.51,37,7,543404.20,14686.60,844,146,1172611.40,1389.35,47722,8443,1772872.30,37.15,123122,21507,2973396.30,24.15,269625,46650,3828675.00,14.20
3733,29/04/2017,34,10,3,23,37,29,1,24,5,1,3961659.25,792331.85,48,7,536937.60,11186.20,1103,189,1158646.35,1050.45,54332,9126,1752207.00,32.25,125615,21835,2939391.00,23.40,265340,45038,3781095.00,14.25
3731,22/04/2017,30,13,11,18,24,21,15,27,15,1,4076633.55,271775.57,106,20,552530.30,5212.55,1466,266,1192297.80,813.30,70300,11741,1803195.00,25.65,174937,28827,3026410.10,17.30,320099,52458,3889202.85,12.15
3729,15/04/2017,40,26,15,44,3,32,16,41,6,0,4120494.66,686749.11,44,9,558861.60,12701.40,969,178,1205968.95,1244.55,48665,8660,1822504.25,37.45,114694,20726,3056595.10,26.65,227888,43081,3942462.40,17.30
3727,08/04/2017,25,38,3,32,27,7,28,21,4,0,4206099.88,1051524.97,71,14,570577.30,8036.30,1101,197,1231248.30,1118.30,59404,9833,1862315.40,31.35,157184,26521,3120102.40,19.85,336807,56601,4024843.65,11.95
3725,01/04/2017,34,24,32,20,37,16,45,4,9,0,4172312.43,463590.27,51,8,566283.60,11103.60,1037,162,1222000.80,1178.40,52165,8912,1846641.00,35.40,129351,22940,3097956.45,23.95,251386,45656,3997037.40,15.90
3723,25/03/2017,23,20,39,16,35,28,27,4,5,2,21000000.00,4200000.00,167,31,1374810.80,8232.40,2514,462,2966645.70,1180.05,131764,22200,4486564.20,34.05,335276,54916,7526946.20,22.45,740949,116705,9706431.90,13.10
3721,18/03/2017,10,43,23,15,1,36,34,2,2,0,4174015.42,2087007.71,38,9,566709.20,14913.40,905,147,1222881.25,1351.25,50622,8917,1850234.10,36.55,123494,21565,3099699.40,25.10,251563,44445,3999851.70,15.90
3719,11/03/2017,36,39,10,15,1,31,32,11,3,1,4129235.22,1376411.74,51,9,561260.10,11005.10,895,156,1211158.75,1353.25,48399,8502,1831902.15,37.85,124894,22066,3072392.40,24.60,271511,46783,3964060.60,14.60
3717,04/03/2017,9,12,28,18,15,34,1,44,8,2,4152088.56,519011.07,82,15,562667.60,6861.80,1378,195,1214155.80,881.10,64805,10434,1837221.75,28.35,138016,23575,3077756.80,22.30,243887,44289,3963163.75,16.25
3715,25/02/2017,36,7,33,29,44,22,45,5,2,1,4208265.54,2104132.77,61,13,572018.35,9377.35,1100,199,1234365.00,1122.15,57910,10729,1867597.50,32.25,136167,25182,3131841.00,23.00,290576,52966,4039006.40,13.90
3713,18/02/2017,28,37,21,30,25,33,36,3,15,2,20000000.10,1333333.34,116,22,1343651.20,11583.20,2450,381,2899452.50,1183.45,126726,20647,4384719.60,34.60,321254,52284,7356716.60,22.90,676340,108799,9468760.00,14.00
3711,11/02/2017,3,45,43,42,18,41,21,2,3,0,4230618.63,1410206.21,52,10,574277.60,11043.80,1079,158,1239231.50,1148.50,64980,10693,1874673.00,28.85,120504,21309,3145154.40,26.10,291268,50308,4048625.20,13.90
3709,04/02/2017,22,16,34,36,38,4,3,26,3,1,3928041.27,1309347.09,44,8,534096.20,12138.55,978,173,1152524.10,1178.45,49445,8752,1742936.25,35.25,122662,20915,2925488.70,23.85,285765,49082,3772098.00,13.20
3707,28/01/2017,19,6,37,28,10,40,33,8,8,0,4076918.16,509614.77,92,12,552276.00,6003.00,2528,417,1191699.20,471.40,76023,12624,1801745.10,23.70,139924,23537,3022358.40,21.60,291284,49560,3888641.40,13.35
3705,21/01/2017,43,17,37,14,41,30,5,38,2,1,4050490.24,2025245.12,44,7,549991.20,12499.80,866,133,1186809.70,1370.45,45384,8270,1794937.20,39.55,113565,20417,3009472.50,26.50,240357,41857,3881765.55,16.15
3703,14/01/2017,9,12,21,41,30,22,20,27,2,1,4161527.10,2080763.55,46,7,564390.10,12269.35,911,158,1217915.90,1336.90,52232,9124,1841178.00,35.25,143002,24872,3088843.20,21.60,319559,52484,3978509.55,12.45
3701,07/01/2017,7,40,20,22,41,19,5,35,3,2,4079775.60,1359925.20,58,9,553699.90,9546.55,907,184,1194836.45,1317.35,51586,8870,1808089.30,35.05,139465,23824,3033363.75,21.75,285808,47502,3901279.20,13.65
3699,31/12/2016,11,18,40,16,4,31,17,38,23,4,31000000.07,1347826.09,254,52,2580741.60,10160.40,5178,789,5568939.00,1075.50,260815,40300,8424324.50,32.30,625384,97380,14133678.40,22.60,1256464,192647,18218728.00,14.50
3697,24/12/2016,39,24,5,9,34,4,15,29,6,1,4543920.36,757320.06,65,6,616138.25,9479.05,1141,193,1329550.25,1165.25,56522,9699,2009357.10,35.55,149446,25957,3370007.30,22.55,329182,56408,4345202.40,13.20
3695,17/12/2016,8,36,17,42,29,18,11,33,1,0,3980966.52,3980966.52,61,7,539221.70,8839.70,986,193,1163578.60,1180.10,53393,9645,1759299.35,32.95,140140,24079,2949947.00,21.05,298978,51233,3797020.60,12.70
3693,10/12/2016,33,5,34,20,36,25,27,42,5,2,3927325.65,785465.13,38,4,533786.00,14047.00,834,136,1151837.40,1381.10,47219,8080,1742381.10,36.90,121018,20756,2922584.70,24.15,255531,43864,3769082.25,14.75
